point_id,filename,mode_idx,frequency_hz,damping_ratio,damping_percent
57,point_57_response.txt,0,410.989678564584,0.01024582671080611,1.024582671080611
57,point_57_response.txt,1,301.30899153062967,0.045128235817241666,4.512823581724167
57,point_57_response.txt,2,251.59608453401245,0.02478739530337862,2.478739530337862
57,point_57_response.txt,3,125.3349086418183,0.03197631618139325,3.1976316181393254
57,point_57_response.txt,4,75.299374235773,0.059653481598174116,5.965348159817411
60,point_60_response.txt,0,425.1334197693004,0.0019874225521691507,0.19874225521691508
60,point_60_response.txt,1,342.1239285776419,0.023381234813291393,2.338123481329139
60,point_60_response.txt,2,260.50857782344815,0.0037897933199642618,0.3789793319964262
60,point_60_response.txt,3,221.18781720780376,0.062121591033667975,6.2121591033667976
60,point_60_response.txt,4,125.66937106255105,0.031986043611518696,3.1986043611518697
60,point_60_response.txt,5,75.20700065148336,0.03436129244090016,3.436129244090016
65,point_65_response.txt,0,382.2378445090128,0.023122269819355612,2.312226981935561
65,point_65_response.txt,1,310.6332667497565,0.030561176304680436,3.0561176304680435
65,point_65_response.txt,2,264.98489656230123,0.013116531420586794,1.3116531420586794
65,point_65_response.txt,3,215.6994016950693,0.06511694467793704,6.511694467793704
65,point_65_response.txt,4,125.87589664856058,0.030403103118576552,3.040310311857655
65,point_65_response.txt,5,76.80281486716477,0.03939971687762723,3.939971687762723
65,point_65_response.txt,6,21.17158699201699,0.01117132378827769,1.117132378827769
70,point_70_response.txt,0,383.2056695313279,0.01840129330780419,1.8401293307804192
70,point_70_response.txt,1,309.10720291692644,0.04716438226354373,4.716438226354374
70,point_70_response.txt,2,265.92197836270833,0.03065564532259512,3.0655645322595118
70,point_70_response.txt,3,229.39235828952013,0.10059935740978912,10.059935740978911
70,point_70_response.txt,4,126.3877916290067,0.028932953124863266,2.8932953124863268
70,point_70_response.txt,5,19.295608310422214,0.06791987387695475,6.791987387695475
74,point_74_response.txt,0,488.32875434850905,0.03632795349387172,3.632795349387172
74,point_74_response.txt,1,384.2025158056555,0.02436623405178155,2.436623405178155
74,point_74_response.txt,2,308.4101259826255,0.03816882725557875,3.816882725557875
74,point_74_response.txt,3,265.8543603219848,0.022437904780678808,2.243790478067881
74,point_74_response.txt,4,219.73412065160255,0.07300099400642543,7.300099400642543
74,point_74_response.txt,5,126.53828696407628,0.03006700960622249,3.0067009606222492
74,point_74_response.txt,6,24.902791754845794,0.04178648328944299,4.178648328944299
79,point_79_response.txt,0,138.18761989510165,0.04611637573659717,4.611637573659717
79,point_79_response.txt,1,274.8973383510892,0.01473799863148196,1.4737998631481959
79,point_79_response.txt,2,311.340050819502,0.03655370161441327,3.655370161441327
79,point_79_response.txt,3,384.72191675666227,0.027230931806243325,2.7230931806243324
80,point_80_response.txt,0,385.3472440352284,0.027659549872565293,2.765954987256529
80,point_80_response.txt,1,307.6469885209264,0.02788241708547979,2.788241708547979
80,point_80_response.txt,2,262.25745900095546,0.011806480271556454,1.1806480271556454
81,point_81_response.txt,0,446.6985525748343,0.0476623625115659,4.76623625115659
81,point_81_response.txt,1,386.57050860741134,0.04817476762803403,4.817476762803403
81,point_81_response.txt,2,304.4364912183412,0.020776558841506275,2.0776558841506274
81,point_81_response.txt,3,22.602079024375797,0.11459275015183691,11.45927501518369
82,point_82_response.txt,0,386.4382855202567,0.030541226908336033,3.054122690833603
82,point_82_response.txt,1,309.94046955275587,0.03144610299143187,3.1446102991431872
82,point_82_response.txt,2,19.761814380099555,0.022581485486323865,2.2581485486323865
83,point_83_response.txt,0,18.604739360258822,0.06111259339847835,6.111259339847835
83,point_83_response.txt,1,352.05861878609284,0.06693706850192543,6.693706850192544
83,point_83_response.txt,2,389.6979042643305,0.020563730839461294,2.0563730839461294
84,point_84_response.txt,0,20.023516739447594,0.03682296651402371,3.682296651402371
84,point_84_response.txt,1,376.68678488297263,0.04616612598382398,4.616612598382399
